,head,qa,rel,ans
124,m.02p19pg,who is the governor of kentucky 2012,['government.government_office_or_title.office_holders|government.government_position_held.office_holder'],m.08gpv0
125,m.09c7w0,who is the senator of the united states 2010,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.01_6h2|m.01_gbv|m.01_pb_|m.01_pcc|m.01_pdg|m.01_pdv|m.01_pgn|m.016mj4|m.0178p9|m.018qx5|m.019tyn|m.01c1n5|m.01d_bx|m.01fmcd|m.01gb3p|m.01gqws|m.01lct6|m.01nvvl|m.01rbrq|m.01rbs3|m.01rcm2|m.01rcnr|m.01rrm2|m.01w74d|m.01wsvs|m.01x68t|m.01xb1j|m.01xcd1|m.01xck2|m.01xcly|m.01xcms|m.01xcqs|m.01xh64|m.01xh6j|m.01xmnh|m.01xtg9|m.01xw7t|m.01xwcp|m.01y0mp|m.01z6ls|m.0202kf|m.0202kt|m.0202mc|m.0202ny|m.0204wp|m.0204x1|m.0204ym|m.02050j|m.0206mj|m.0206nm|m.020y8m|m.020yg2|m.020yj1|m.020yjg|m.020ymy|m.020ynq|m.021fx2|m.021kpl|m.021pgp|m.021ph1|m.021sv1|m.024mm1|m.024zbx|m.02556q|m.0256rr|m.025jr2|m.025k3k|m.025xxb|m.026k60f|m.02722_|m.02b56f|m.02rsm32|m.02v30g|m.033d3p|m.033t35|m.034s80|m.03g_s9|m.03wnjr|m.03ybyn|m.040_w4|m.047ymw|m.04fy4q|m.04lc5t|m.04m_msl|m.04y9vtn|m.0574xy|m.05b60qf|m.05fbpt|m.05pqtr|m.066cdp|m.06bss|m.06y9p0|m.07qw94|m.082d3d|m.0896g7|m.09sztf|m.0bmg6w|m.0bymv|m.0cm9_gz|m.0d3qd0|m.0d9fz3|m.0gnfc4|m.0jw5r|m.0lbm2
126,m.0chhs,where did the massive allied invasion of northern france take place in june 1944,['time.event.locations'],m.05g56
127,m.07ssc,which countries are part of the united kingdom,['location.location.contains'],m.02jx1|m.0366c|m.05bcl|m.06q1r|m.0j5g9
128,m.04jpl,what is the postcode for london,['location.citytown.postal_codes'],m.09rzxp9|m.09sfglt|m.0cvp88j|m.0cxn7ws|m.0cxsp04|m.0cxss5g|m.0cy0j66|m.0cy1q47|m.0cy1sy5|m.0cy1z55|m.0cy1ztb|m.0cy6s01|m.0cy8plg
129,m.04093,what other books did jules verne wrote,['book.author.book_editions_published'],m.04t__mt|m.04t_0mk|m.04t_0n2|m.04t_0nk|m.04t_0nv|m.04t_0p3|m.04t_0pc|m.04t_0pn|m.04t_0py|m.04t_0q6|m.04t_0qh|m.04t_0qs|m.04t_0r1|m.04t_0r9|m.04t_0rl|m.04t_26q|m.04t_275|m.04t_27m|m.04t_288|m.04t_28j|m.04t_28t|m.04t_292|m.04t_29b|m.04t_29m|m.04t_29w|m.04t_2b3|m.04t_2bx|m.04t_3cp|m.04t_3d_|m.04t_3f8|m.04t_3fk|m.04t_3fv|m.04t_3g3|m.04t_3gd|m.04t_3h3|m.04t_8qw|m.04t_8r_|m.04t_8r4|m.04t_8rf|m.04t_8rq|m.04t_8s8|m.04t_8sk|m.04t_8sv|m.04t_8td|m.04t_8vg|m.04t_8wk|m.04t_kb8|m.04t_kbk|m.04t_kbv|m.04t_kc3|m.04t_kcd|m.04t_kcp|m.04t_kcz|m.04t_kd6|m.04t_kdh|m.04t_kft|m.04t_kg2|m.04t_kgc|m.04t_kgn|m.04t_kl4|m.04t_m_7|m.04t_m_j|m.04t_m_t|m.04t_m1x|m.04t_m33|m.04t_mj9|m.04t_mjl|m.04t_myc|m.04t_myy|m.04t_n02|m.04t_n0c|m.04t_n0n|m.04t_n0y|m.04t_n16|m.04t_n1g|m.04t_n1r|m.04t_n2_|m.04t_n20|m.04t_n29|m.04t_n2l|m.04t_n37|m.04t_n3j|m.04t_n81|m.04t_n8j|m.04t_n8v|m.04t_n99|m.04t_n9s|m.04t_nb0|m.04t_nb9|m.04t_nbk|m.04t_nbt|m.04t_nc1|m.04t_nc9|m.04t_ncl|m.04t_ncv|m.04t_nd2|m.04t_ndb|m.04t_ndm|m.04t_p_4|m.04t_p_f|m.04t_p_q|m.04t_pz1|m.04t_pzw|m.04t_qn_|m.04t_qpt|m.04t_qq2|m.04t_qqb|m.04t_qqw|m.04t_qr3|m.04t_qrt|m.04t_qs1|m.04t_qs9|m.04t_qsk|m.04t_qst|m.04t_qt2|m.04t_qtc|m.04t_qtm|m.04t_qwb|m.04t_tk_|m.04t_tlj|m.04t_tm0|m.04t_tm8|m.04t_tmj|m.04t_tnj|m.04t_ttb|m.04t_tv2|m.04t_tvb|m.04t_tvl|m.04t_tvw|m.04t_tw3|m.04t_twd|m.04t_twp|m.04t_twy|m.04t_tx6|m.04t_ty7|m.04t_tyj|m.04t_tyt|m.04t_tzb|m.04t_wfz|m.04t_wg7|m.04t_wgh|m.04t_z73|m.04t_z7d|m.04t_z7p|m.04t_z7z|m.04t_z87|m.04t_z8j|m.04t_z91|m.04t_z9b|m.04tz_32|m.04tz_3k|m.04tz_5_|m.04tz_5g|m.04tz_5q|m.04tz_6_|m.04tz_6g|m.04tz_6q|m.04tz_77|m.04tz_7j|m.04tz_80|m.04tzprx|m.04tzxn9|m.04tzxnl|m.04tzxp4|m.04v001v|m.04v0029|m.04v002s|m.04v0036|m.04v003p|m.04v004k|m.04v0050|m.04v005h|m.04v007x|m.04v008d|m.04v02bv|m.04v02c9|m.04v02cs|m.04v02d1|m.04v02f_|m.04v02fg|m.04v02fr|m.04v02gh|m.04v02ht|m.04v02j2|m.04v03t5|m.04v055l|m.04v055w|m.04v056_|m.04v0564|m.04v056f|m.04v056q|m.04v0578|m.04v057k|m.04v057v|m.04v0583|m.04v0617|m.04v0633|m.04v063f|m.04v063x|m.04v064c|m.04v064v|m.04v0800|m.04v0811|m.04v0819|m.04v081k|m.04v081v|m.04v0822|m.04v082c|m.04v082m|m.04v082w|m.04v083l|m.04v08t1|m.04v08w0|m.04v08x0|m.04v08xk|m.04v08y2|m.04v08yc|m.04v0cnk|m.04v0cnv|m.04v0cp2|m.04v0cpc|m.04v0cpn|m.04v0cpy|m.04v0cq5|m.04v0cqg|m.04v0cqr|m.04v0cr0|m.04v0cr9|m.04v0crl|m.04v0crw|m.04v0cs4|m.04v0csf|m.04v0ctk|m.04v0ctv|m.04v0fls|m.04v0fm0|m.04v0fm9|m.04v0fml|m.04v0l2q|m.04v0l2z|m.04v0l4y|m.04v0q3y|m.04v0q46|m.04v0q4h|m.04v0q4s|m.04v0q51|m.04v0q5b|m.04v0q5m|m.04v0q6c|m.04v0q6n|m.04v0q6y|m.04v1w6s|m.04v1x0p|m.04v1x0z|m.04v27hx|m.04v4mdc|m.04v4mdx|m.04v4mf5|m.04v4n4f|m.04v4q3h|m.04v4q46|m.04v4q4h|m.04v4q4s|m.04v4q51|m.04v4q6h|m.04v4q6s|m.04v4q7t|m.04v4qlg|m.04v4rp3|m.04v4rpd|m.04v4tf6|m.04v4thy|m.04v4x6c|m.04v4zsc|m.04v5str|m.04v5sv0|m.04v5svh|m.04v5t13|m.04v5t1t|m.04v5t2b|m.04v5t2t|m.04v5t5d|m.04v5tvb|m.051jgw9
130,m.015fr,what is the currency name of brazil,['location.country.currency_used'],m.03385m
131,m.02wt0,what language does fiji,['location.country.official_language'],m.020gps|m.02h40lc|m.02hwsll
132,m.02rd1tt,what is the second percy jackson book called,['book.book_character.appears_in_book'],m.026jlk9
133,m.046s1z1,who did jon gosselin cheat with,['base.popstra.celebrity.infidelity_perpetrator|base.popstra.infidelity.participant'],m.064vnc0
134,m.01cylx,where is mitsubishi headquarters,['organization.organization.headquarters|location.mailing_address.citytown'],m.07dfk|m.024bqj|m.024bqj|m.07dfk
135,m.097hft,where is jay cutler now,['base.schemastaging.athlete_extra.salary|base.schemastaging.athlete_salary.team'],m.01y3v|m.01y3v
136,m.0_6t_z8,what are eu countries,['organization.membership_organization.members|organization.organization_membership.member'],m.0154j|m.015qh|m.01mjq|m.01pj7|m.01ppq|m.02kmm|m.02vzc|m.0345h|m.035qy|m.03gj2|m.03rjj|m.03rt9|m.04g5k|m.04g61|m.04gzd|m.04v3q|m.059j2|m.05qhw|m.05r4w|m.06c1y|m.06mkj|m.06npd|m.06t8v|m.07ssc|m.0d0vqn|m.0f8l9c|m.0h7x|m.0k6nt
137,m.07_m2,what influenced vincent van gogh work,['influence.influence_node.influenced_by'],m.016s03|m.01xnj|m.0452w|m.056100|m.05t6y5|m.063mx|m.08hrl7|m.0bskv2|m.0fmjym|m.0pwnh
138,m.09c7w0,what time zones are there in the us,['location.location.time_zones'],m.027wj2_|m.027wjl3|m.02fqwt|m.02hcv8|m.02hczc|m.02lcqs|m.02lcrv|m.02lctm|m.042g7t
139,m.0chghy,what language do australian people speak,['location.country.languages_spoken'],m.02h40lc|m.02jcw|m.04gd7
140,m.05229c_,who did ben stiller play in megamind,['film.actor.film|film.performance.character'],m.0fndhvs|m.0fndhvs
141,m.0cw10,what countries did queen victoria rule,['government.political_appointer.appointees|government.government_position_held.jurisdiction_of_office'],m.020br6|m.07ssc|m.0bq0p9|m.0jv32
142,m.0ch_0g,where did jeff dunham go to school,['people.person.education|education.education.institution'],m.01tx9m
143,m.047p6rh,what college did kevjumba,['people.person.education|education.education.institution'],m.07vht
144,m.038m_v,who does david james play for 2011,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.01dtl
145,m.01wrcxr,what movies did diana ross play in,['film.actor.film|film.performance.film'],m.01295rtw|m.01gvpz|m.027fwmt|m.04l7z_|m.05n1_9|m.067zjb|m.07bdfb|m.0crt8tb|m.0crtmx7|m.0crv8zq|m.0crvchf|m.0h0zm10
146,m.0fpzwf,what is the zip code for minneapolis,['location.citytown.postal_codes'],m.01_x_4z|m.01_x_8g|m.01_x_qk|m.01_y0_0|m.01_y0gq|m.01_y0jp|m.01_y0kh|m.01_y0ms|m.01_y0q_|m.01_y1yp|m.01_y3_x|m.01_y3h3|m.01_y3j5|m.01_y41c|m.01_y467|m.01_y48c|m.01_y7w7|m.01_y83k|m.01_y89x|m.01_y9z4|m.01_yd4v|m.01_ydb4|m.01_ydmy|m.01_yhvb|m.01_yjfc|m.01_yjgp|m.01_yjjm|m.01_yjqc|m.01_yqg4|m.01_yr_z|m.01_yrfl|m.01_yrgm|m.01_yrlg|m.01_yrpq|m.01_yry4|m.01_ys37|m.01_ys66|m.01_ysl3|m.01_yszb|m.01_ytb1|m.01_ytcq|m.01_yv9p|m.01_yvfs|m.01_yxn1|m.01_yxyn|m.01_yycq|m.01_zhy6|m.01_znb8|m.01_zp8l|m.02wvhc5|m.03ds9j3|m.07nqpnj|m.07nqpnr|m.07nqpnz|m.07nqpp5|m.07nqppd|m.07nqppm|m.07nqppv|m.07nqpq_|m.07nqpq1|m.07nqpq8|m.07nqpqh|m.07nqpqq|m.07nqpr6|m.07nqprf|m.07nqprn|m.07nqprw|m.07nqps2|m.07nqps9|m.09rzq2n
147,m.082pc,what country is the west bank located in,['base.biblioness.bibs_location.country'],m.0604m|m.0604m|m.01k0p4
148,m.0by030z,who won golden boot,['award.award_category.winners|award.award_honor.award_winner'],m.02xt6q|m.04j7c7
149,m.024y6w,where did jane mansfield die,['people.deceased_person.place_of_death'],m.0tmsj
150,m.0d2kt,where is the thames river located,['location.location.containedby'],m.02j9z|m.02jx1|m.07ssc
151,m.0jnq8,when did kings last win stanley cup,['sports.sports_team.championships'],m.010fdzhp
152,m.081k8,what school did william shakespeare attend,['people.person.education|education.education.institution'],m.08p297
153,m.01p1v,what money do they use in chile,['location.country.currency_used'],m.0172zs
154,m.027jv8,what college did peyton manning,['people.person.education|education.education.institution'],m.01qgr3
155,m.059yj,what are the 2 conferences in the nfl,['organization.organization.child|organization.organization_relationship.child'],m.01ddqt|m.0hh4
156,m.01jrbb,what character does ellen play in finding nemo,['film.actor.film|film.performance.character'],m.02_29cg|m.02_29cg
157,m.05gg4,when was the last time the ny giants were in the super bowl,['sports.sports_team.championships'],m.043t_rh
158,m.03647x,what are all the names of harry potter,['book.book_character.appears_in_book'],m.014jst|m.015pln|m.01lr1g|m.01m5g_|m.03bkkv|m.06_rf9|m.0c_vk
159,m.01d1st,what does nick cannon play in,['tv.tv_actor.starring_roles|tv.regular_tv_appearance.series'],m.0125f1|m.02pzsft|m.02vrvv|m.0cnyxtv|m.0d4x_3|m.0m_921m
160,m.015fr,what sort of government does brazil have,['location.country.form_of_government'],m.01d9r3|m.0c9rw5|m.0j729
161,m.0dd3q,where did matthias schleiden go to school,['people.person.education|education.education.institution'],m.0pmcz
162,m.01wbl_r,what happened to daddy yankee,['base.disaster2.injured_person.injuries|base.disaster2.injury.type_of_event'],m.032s66
163,m.01jjk,what country is located in the balkan peninsula,['location.location.contains'],m.0bjv6|m.0jdx
164,m.06mz5,what 6 states border south dakota,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.03s0w|m.04ykg|m.050l8|m.05fhy|m.05fky|m.0846v
165,m.06mkj,what are the main languages spoken in spain,['location.country.official_language'],m.06nm1
